Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,401b74102d854e9194b6e40deaf762a0788ba7f5_3,1,0.072786
RAxML_portableTree.dino_epa,446be04449e7bd4dbb1332aab3d59b6a780bc37b_3,1,0.144772
RAxML_portableTree.dino_epa,5a972385ad77370f1f3cd1533fafff808851a9c6_8,1,0.105707
RAxML_portableTree.dino_epa,60564a7afc8342d171cf4f8b8e96652b2e297768_3,1,0.67523
RAxML_portableTree.dino_epa,6a7b045f7bddd28475c2d29a6c28e6a04573454a_3,1,1.03411
RAxML_portableTree.dino_epa,6f1a2a0b2723bb665470a0bc6b8e046171c1cc3b_3,1,0.0770478
RAxML_portableTree.dino_epa,70ccb08683d31f2554f0a6c1ebfe0f2ee3774d51_4,1,0.0734502
RAxML_portableTree.dino_epa,7c5d0fa3a51c0c33ae346fc5fbf66eead60a292a_3,1,0.20564
RAxML_portableTree.dino_epa,88512c3691291ff5821c4b2d945b6605ab9e6b05_4,1,0.431822
RAxML_portableTree.dino_epa,954b122fd38f22d87765e04c226a8cf21cacca82_8,1,0.0763804
RAxML_portableTree.dino_epa,9b70b75a06a9230518b42e36244282ffce77cac0_3,1,0.72127
RAxML_portableTree.dino_epa,b682ad855474e4a646f74f8cb5e4ec6ac2f5a7e0_3,1,0.0766837
RAxML_portableTree.dino_epa,c1948c6861b48991d26efd8e8d36a3347cc302c0_14,1,0.0976148
RAxML_portableTree.dino_epa,c29d5a6a583c4e4a62d2935b0e7f05c01fc19a27_3,1,0.100837
RAxML_portableTree.dino_epa,c723baf8d9e69bfcb43ec4c460e8b09f370c74a2_5,1,0.769107
RAxML_portableTree.dino_epa,cda199453e3ec8a2d64ba763aba8796c2c0e5d71_3,1,0.528053
RAxML_portableTree.dino_epa,cf3a4dffe7562616af133ac9fd059bcd4139d5cc_3,1,1.14242
RAxML_portableTree.dino_epa,cf71e0a1e86f46009c46d8805d2f6b63c84f4d74_4,1,0.285187
RAxML_portableTree.dino_epa,d3a4908bfff595702defa00d9dbc8e5eed1dd52a_3,1,0.670198
RAxML_portableTree.dino_epa,ece7cdd1092f082ce4f453691ce958c73d387253_3,1,1.14674
RAxML_portableTree.dino_epa,f023571e62541334f53cd871436d376e43822c04_5,1,0.42759
RAxML_portableTree.dino_epa,f6e387974264f02dd3fc45e7658376090ef0e0f1_5,1,0.0370404
RAxML_portableTree.dino_epa,0c94ca471ba42c6ed756c6d95bdcce6f8a6a665a_4,1,0.767356
RAxML_portableTree.dino_epa,12adbe05d11abbf6fe5db52cc8c215c39238898b_4,1,0.072798
RAxML_portableTree.dino_epa,184630ce3169cedb863a2b41146a76d4184a382d_6,1,0.229033
RAxML_portableTree.dino_epa,1b0fca2238f52d44bd4512120464f6b31fcfa462_3,1,1.06964
RAxML_portableTree.dino_epa,1d9f8af9ee85e3ca41d87fff16ba2b18a86c99ab_3,1,0.0458387
RAxML_portableTree.dino_epa,230e6666cf24a7144b9cfd89607c2ca78bef5879_3,1,1.10373
RAxML_portableTree.dino_epa,29b4f63d2d73a98a16e5c91d8bffed5848101a15_3,1,0.643109
RAxML_portableTree.dino_epa,32657cf7f28fc0772b6f408eeeca3a3d0938ac7e_3,1,0.0726886
RAxML_portableTree.dino_epa,3f5916dbedace7fe186b6695c3853f5d611ff4b5_4,1,0.0774523
RAxML_portableTree.dino_epa,40d384cca0e8c2905e7b9c6100268cb4404a9be2_3,1,0.137899
RAxML_portableTree.dino_epa,455fa1e124a3f88550a9bc01f0a634643a298094_3,1,0.772766
RAxML_portableTree.dino_epa,48896daee6d0282204948ba4f1eccecfd778d12e_3,1,0.106745
RAxML_portableTree.dino_epa,4b9a7f37eebfa2bb39df44615dd57fa3013d7e9e_4,1,0.598236
RAxML_portableTree.dino_epa,555654bcf76e644fd57214a89ff851446edee952_5,1,0.0196573
RAxML_portableTree.dino_epa,73542d022ad821bebf391c891e25bb9126bc20d9_3,1,0.0784119
RAxML_portableTree.dino_epa,73daf1f9b09b68471ccc8848c3ad7ccede1b9001_4,1,0.0368218
RAxML_portableTree.dino_epa,77208a3acdf9229dc60582d4adfad6401d0e99a3_5,1,1.1013
RAxML_portableTree.dino_epa,78c59b6a3242068436465adb5fa041ea638fcae2_5,1,0.0424985
RAxML_portableTree.dino_epa,7b535fbe7351a10f07fa5aa08f0e7f70fd50a7de_3,1,0.0767101
RAxML_portableTree.dino_epa,84a36f1337864c5bef84d903d8d4dbfd25cfad1d_3,1,0.55142
RAxML_portableTree.dino_epa,8816255c36035eb9c73eceb33b50e546a27f46cd_4,1,0
RAxML_portableTree.dino_epa,8a7145b6d0d688f4e925c91ea792df5898efd471_3,1,0
RAxML_portableTree.dino_epa,909206944c59a4e31b48413b9a11c5c39a206bd2_3,1,0.151191
RAxML_portableTree.dino_epa,941e7fb35a1187036e96695bb81d98f64f91fbbf_4,1,0.0767522
RAxML_portableTree.dino_epa,a3bf44780ae346ada7cd1e490c47e606a7127abf_4,1,0.170719
RAxML_portableTree.dino_epa,b1093edf2c320761928a2656331c1cd92815e6e2_4,1,0.151501
RAxML_portableTree.dino_epa,bfda99444b9daa2d2ab0ede9bda49c5da1ff96d2_3,1,0.181209
RAxML_portableTree.dino_epa,c311ef5d8908092d7649a4b86ff34273105b6a6e_3,1,0.951412
RAxML_portableTree.dino_epa,cb0e88950a2cc289413931c33489bdbbb2df962c_3,1,0.0770068
RAxML_portableTree.dino_epa,ce9456ca3f4ce42c2991fb9de99546e195028d77_3,1,0.185988
RAxML_portableTree.dino_epa,e96580a9c02b0178f975b96fdee24b6652502d0b_4,1,0.688947
RAxML_portableTree.dino_epa,ebdeec8e1685a0f5f47bf0781aab60d9dd0247a4_7,1,0.598947
RAxML_portableTree.dino_epa,fada23666e1108b91be2e58113946ded4de67a67_3,1,0.0767288
RAxML_portableTree.dino_epa,07addf23dc12ac3650d6ac9a08d5a601263a2ea2_3,1,0.305675
RAxML_portableTree.dino_epa,10e973bc2abbde367ebe10474e15c9612f44bc1f_5,1,0.0774281
