Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,2a87298f5ccf55068ce47e58101460d7d6635646_23,1,0.185278,0.185256,0.182955,0.178519,0.178512,0.079974
RAxML_portableTree.dino_epa,2e394ea765bf21bafd2b1cb1ffcf23c07e345320_25,1,0.391114,0.304532,0.304354,0.0,0.0,0.0
RAxML_portableTree.dino_epa,88e81cf401e23c4170e58b69bd9792a1eab54ef1_37,1,0.778183,0.094209,0.094092,0.021111,0.002204,0.002199
RAxML_portableTree.dino_epa,8fdd827e5aaebff23e7141d531d4473c85c9e4b3_24,1,0.553547,0.076532,0.076422,0.05429,0.054288,0.176082
RAxML_portableTree.dino_epa,f15da23c46bf7d4e8ed0100e0f51d32c907361ce_33,1,0.840181,0.008632,0.00481,0.003966,0.003903,0.129013
RAxML_portableTree.dino_epa,2efa5b52e5f4ad40b6eeda59eb49ca243500d8a5_23,1,0.299282,0.066871,0.066847,0.066079,0.0516,0.43975
RAxML_portableTree.dino_epa,5a6b109fba234a42b8b3dd77923a50bc85643101_22,1,0.446958,0.299199,0.253829,0.0,0.0,0.0
RAxML_portableTree.dino_epa,714697f848cfe6d73032442955fca9a8b52ba7cc_51,1,0.463558,0.232985,0.166073,0.00305,0.002903,0.121554
RAxML_portableTree.dino_epa,c152628fcd8d2e43326e430ed5962bbb941ef011_21,1,0.999999,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,8717bf65a60a565c009620537308e2f0e57f4a16_27,1,0.463524,0.29423,0.242236,0.0,0.0,0.0
RAxML_portableTree.dino_epa,a2eb76bc4cedfebc1d711ed6d6a3fba9adf1fcc5_51,1,0.664683,0.118885,0.055927,0.048814,0.022694,0.079153
RAxML_portableTree.dino_epa,bb6c88013cfdc29d332f6e40fbbc6de3363b7ed1_23,1,0.306789,0.306784,0.306758,0.012063,0.012033,0.047748
RAxML_portableTree.dino_epa,c1819f88d8afe2c8ab4cf73a76cf7bc3651c1ba5_37,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,05972c797a2c6f8d1fa32d9b5f0caf88d0b15d16_17,1,0.385939,0.307123,0.306938,0.0,0.0,0.0
RAxML_portableTree.dino_epa,53d48125e33c5a57830b5c928bd94c5acc0d3e0d_50,1,0.85061,0.043549,0.042116,0.011525,0.011438,0.030774
RAxML_portableTree.dino_epa,c6d2c46f3a236eb0b657717fd2cfcee1dcf063ac_19,1,0.990471,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,e4143d344fd4893179ce0a22ca5bc09186a0d42e_22,1,0.418602,0.306542,0.274826,0.0,0.0,0.0
RAxML_portableTree.dino_epa,0ca5395074e7e9058a3c5ec686d034ead835768b_21,1,0.378154,0.131809,0.081314,0.081055,0.02392,0.293851
RAxML_portableTree.dino_epa,17a4874bc7e04edc26ec1577ae4066fc2852d455_15,1,0.455181,0.439298,0.10552,0.0,0.0,0.0
RAxML_portableTree.dino_epa,6864ed4c9ab0f2a5d7a61b174eb392c47dbf7431_21,1,0.929689,0.016507,0.008542,0.008417,0.004508,0.022462
RAxML_portableTree.dino_epa,7281a300e2fbacbfb132bc33179513ae99bc9a2f_21,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,87a9a37400a625a85e0f1bba40d2834aa50f42e5_61,1,0.49977,0.075174,0.04278,0.02822,0.02798,0.316402
RAxML_portableTree.dino_epa,00bc87dcd8b04c7d2f678d44d7ffe3fb072b60c2_23,1,0.17985,0.128745,0.060376,0.053652,0.029176,0.538338
